key,repo,name
php:S1192,php,String literals should not be duplicated
php:S121,php,Control structures should use curly braces
php:S122,php,Statements should be on separate lines
php:S1226,php,Function and method parameters' initial values should not be ignored
php:S1301,php,"""switch"" statements should have at least 3 ""case"" clauses"
php:S1311,php,Cyclomatic Complexity of classes should not be too high
php:S1313,php,Using hardcoded IP addresses is security-sensitive
php:S1451,php,Track lack of copyright and license headers
php:S1523,php,Dynamically executing code is security-sensitive
php:S1541,php,Cyclomatic Complexity of functions should not be too high
php:S1578,php,File names should comply with a naming convention
php:S1697,php,Short-circuit logic should be used to prevent null pointer dereferences in conditionals
php:S1751,php,Loops with at most one iteration should be refactored
php:S1757,php,"""<?php"" and ""<?="" tags should be used"
php:S1763,php,All code should be reachable
php:S1764,php,Identical expressions should not be used on both sides of a binary operator
php:S1765,php,"The ""var"" keyword should not be used"
php:S1766,php,More than one property should not be declared per statement
php:S1780,php,"Closing tag ""?>"" should be omitted on files containing only PHP"
php:S1781,php,"PHP keywords and constants ""true"", ""false"", ""null"" should be lower case"
php:S1784,php,Method visibility should be explicitly declared
php:S1788,php,Method arguments with default values should be last
php:S1793,php,"""elseif"" keyword should be used in place of ""else if"" keywords"
php:S1871,php,Two branches in a conditional structure should not have exactly the same implementation
php:S1990,php,"""final"" should not be used redundantly"
php:S1996,php,Files should contain only one top-level class or interface each
php:S1997,php,Files should not contain inline HTML
php:S1998,php,References should not be passed to function calls
php:S2041,php,"Parentheses should not be used for calls to ""echo"""
php:S2042,php,Classes should not have too many lines of code
php:S2043,php,Superglobals should not be accessed directly
php:S2044,php,"""php_sapi_name()"" should not be used"
php:S2046,php,Perl-style comments should not be used
php:S2047,php,"The names of methods with boolean return values should start with ""is"" or ""has"""
php:S2050,php,Alias functions should not be used
php:S2053,php,Password hashing functions should use an unpredictable salt
php:S2070,php,SHA-1 and Message-Digest hash algorithms should not be used in secure contexts
php:S2077,php,Formatting SQL queries is security-sensitive
php:S2166,php,"Classes named like ""Exception"" should extend ""Exception"" or a subclass"
php:S2612,php,Setting loose POSIX file permissions is security-sensitive
php:S2737,php,"""catch"" clauses should do more than rethrow"
php:S2755,php,XML parsers should not be vulnerable to XXE attacks
php:S2757,php,"Non-existent operators like ""=+"" should not be used"
php:S2761,php,Unary prefix operators should not be repeated
php:S2964,php,"""sleep"" should not be called"
php:S3011,php,"Reflection should not be used to increase accessibility of classes, methods, or fields"
php:S3972,php,Conditionals should start on new lines
php:S3973,php,A conditionally executed single line should be denoted by indentation
php:S4144,php,Methods should not have identical implementations
php:S4818,php,Using Sockets is security-sensitive
php:S4824,php,"References used in ""foreach"" loops should be ""unset"""
php:S4828,php,Signaling processes is security-sensitive
php:S4829,php,Reading the Standard Input is security-sensitive
php:S5328,php,Manual generation of session ID is security-sensitive
php:S5708,php,Caught Exceptions must derive from Throwable
php:S5797,php,Constants should not be used as conditions
php:S5911,php,Class of caught exception should be defined
php:S5935,php,Framework-provided functions should be used to test exceptions
php:S6323,php,Alternation in regular expressions should not contain empty alternatives
php:S6326,php,Regular expressions should not contain multiple spaces
php:S6328,php,Replacement strings should reference existing regular expression groups
php:S6341,php,WordPress theme and plugin editors are security-sensitive
php:S6343,php,Disabling automatic updates is security-sensitive
php:S6344,php,Constants should not be redefined
php:S6345,php,Allowing all external requests from a WordPress server is security-sensitive
php:S6346,php,Allowing unauthenticated database repair in WordPress is security-sensitive
php:S6347,php,"WordPress options should not be defined at the end of ""wp-config.php"""
php:S6348,php,Allowing unfiltered HTML content in WordPress is security-sensitive
php:S6349,php,WordPress option names should not be misspelled
php:S6353,php,Regular expression quantifiers and character classes should be used concisely
php:S6418,php,Hard-coded secrets are security-sensitive
php:S6437,php,Credentials should not be hard-coded
php:S1200,php,Classes should not be coupled to too many other classes
php:S1314,php,Octal values should not be used
php:S1448,php,Classes should not have too many methods
php:S1799,php,"""exit(...)"" and ""die(...)"" statements should not be used"
php:S2092,php,"Creating cookies without the ""secure"" flag is security-sensitive"
php:S3626,php,Jump statements should not be redundant
php:S3981,php,Array or Countable object count comparisons should make sense
php:S3984,php,Exceptions should not be created without being thrown
php:S4142,php,Duplicate values should not be passed as arguments
php:S4143,php,Array values should not be replaced unconditionally
php:S4823,php,Using command line arguments is security-sensitive
php:S4830,php,Server certificates should be verified during SSL/TLS connections
php:S4833,php,"Use of namespaces should be preferred to ""include"" or ""require"" functions"
php:S4834,php,Controlling permissions is security-sensitive
php:S5122,php,Having a permissive Cross-Origin Resource Sharing policy is security-sensitive
php:S5361,php,`str_replace` should be preferred to `preg_replace`
php:S5808,php,Authorizations should be based on strong decisions
php:S5915,php,Assertions should not be made at the end of blocks expecting an exception
php:S6331,php,Regular expressions should not contain empty groups
php:S6339,php,Secret keys and salt values should be robust
ruby:S1110,ruby,Redundant pairs of parentheses should be removed
ruby:S1134,ruby,"Track uses of ""FIXME"" tags"
ruby:S1135,ruby,"Track uses of ""TODO"" tags"
ruby:S131,ruby,"""case"" statements should have ""else"" clauses"
ruby:S1313,ruby,Using hardcoded IP addresses is security-sensitive
ruby:S1871,ruby,Two branches in a conditional structure should not have exactly the same implementation
ruby:S3776,ruby,Cognitive Complexity of functions should not be too high
ruby:ParsingError,ruby,Ruby parser failure
ruby:S100,ruby,Method names should comply with a naming convention
ruby:S101,ruby,Class names should comply with a naming convention
ruby:S103,ruby,Lines should not be too long
ruby:S104,ruby,Files should not have too many lines of code
ruby:S105,ruby,Tabulation characters should not be used
ruby:S1066,ruby,"Mergeable ""if"" statements should be combined"
ruby:S1067,ruby,Expressions should not be too complex
ruby:S107,ruby,Functions should not have too many parameters
ruby:S108,ruby,Nested blocks of code should not be left empty
ruby:S1145,ruby,"Useless ""if true ..."" and ""if false ..."" blocks should be removed"
ruby:S1151,ruby,"""case when"" clauses should not have too many lines of code"
ruby:S117,ruby,Function and block parameter names should comply with a naming convention
ruby:S1172,ruby,Unused function parameters should be removed
ruby:S1186,ruby,Methods should not be empty
ruby:S1192,ruby,String literals should not be duplicated
ruby:S122,ruby,Statements should be on separate lines
ruby:S126,ruby,"""if ... else if"" constructs should end with ""else"" clauses"
ruby:S1314,ruby,Octal values should not be used
ruby:S134,ruby,"Control flow statements ""if"", ""for"", ""while"", ""until"", ""case"" and ""begin...rescue"" should not be nested too deeply"
ruby:S138,ruby,Functions should not have too many lines of code
ruby:S1451,ruby,Track lack of copyright and license headers
ruby:S1479,ruby,"""case"" statements should not have too many ""when"" clauses"
ruby:S1481,ruby,Unused local variables should be removed
ruby:S1656,ruby,Variables should not be self-assigned
ruby:S1763,ruby,All code should be reachable
ruby:S1764,ruby,Identical expressions should not be used on both sides of a binary operator
ruby:S1821,ruby,"""case"" statements should not be nested"
ruby:S1862,ruby,"Related ""if/elsif"" statements and ""when"" in a ""case"" should not have the same condition"
ruby:S1940,ruby,Boolean checks should not be inverted
ruby:S2068,ruby,Hard-coded credentials are security-sensitive
ruby:S2757,ruby,"Non-existent operators like ""=+"" should not be used"
ruby:S3923,ruby,All branches in a conditional structure should not have exactly the same implementation
ruby:S4144,ruby,Methods should not have identical implementations
ruby:S4663,ruby,Multi-line comments should not be empty
ipython:S1131,ipython,Lines should not end with trailing whitespaces
ipython:S1134,ipython,"Track uses of ""FIXME"" tags"
ipython:S1135,ipython,"Track uses of ""TODO"" tags"
ipython:S5850,ipython,Alternatives in regular expressions should be grouped when used with anchors
ipython:S5852,ipython,Using slow regular expressions is security-sensitive
ipython:S5855,ipython,Regex alternatives should not be redundant
ipython:S5856,ipython,Regular expressions should be syntactically valid
ipython:S6709,ipython,Results that depend on random number generation should be reproducible
ipython:BackticksUsage,ipython,Backticks should not be used
ipython:ExecStatementUsage,ipython,"The ""exec"" statement should not be used"
ipython:InequalityUsage,ipython,"""<>"" should not be used to test inequality"
ipython:NoSonar,ipython,"Track uses of ""NOSONAR"" comments"
ipython:PreIncrementDecrement,ipython,Increment and decrement operators should not be used
ipython:S1110,ipython,Redundant pairs of parentheses should be removed
ipython:S1128,ipython,Unnecessary imports should be removed
ipython:S1142,ipython,Functions should not contain too many return statements
ipython:S1143,ipython,"Break, continue and return statements should not occur in ""finally"" blocks"
ipython:S1144,ipython,Unused class-private methods should be removed
ipython:S1244,ipython,Floating point numbers should not be tested for equality
ipython:S1481,ipython,Unused local variables should be removed
ipython:S1700,ipython,A field should not duplicate the name of its containing class
ipython:S1940,ipython,Boolean checks should not be inverted
ipython:S2115,ipython,A secure password should be used when connecting to a database
ipython:S2201,ipython,Return values from functions without side effects should not be ignored
ipython:S2208,ipython,Wildcard imports should not be used
ipython:S2325,ipython,Methods and properties that don't access instance data should be static
ipython:S3329,ipython,Cipher Block Chaining IVs should be unpredictable
ipython:S3776,ipython,Cognitive Complexity of functions should not be too high
ipython:S4502,ipython,Disabling CSRF protections is security-sensitive
ipython:S4507,ipython,Delivering code in production with debug features activated is security-sensitive
ipython:S5042,ipython,Expanding archive files without controlling resource consumption is security-sensitive
ipython:S5603,ipython,Unused scope-limited definitions should be removed
ipython:S5607,ipython,Operators should be used on compatible types
ipython:S5712,ipython,"Some special methods should return ""NotImplemented"" instead of raising ""NotImplementedError"""
ipython:S5713,ipython,"A subclass should not be in the same ""except"" statement as a parent class"
ipython:S5714,ipython,"Boolean expressions of exceptions should not be used in ""except"" statements"
ipython:S5717,ipython,Function parameters' default values should not be modified or assigned
ipython:S5719,ipython,Instance and class methods should have at least one positional parameter
ipython:S5720,ipython,"""self"" should be the first argument to instance methods"
ipython:S5722,ipython,Special methods should have an expected number of parameters
ipython:S5724,ipython,"Property getter, setter and deleter methods should have the expected number of parameters"
ipython:S5727,ipython,Comparison to None should not be constant
ipython:S5747,ipython,"Bare ""raise"" statements should only be used in ""except"" blocks"
ipython:S5842,ipython,Repeated patterns in regular expressions should not match the empty string
ipython:S5843,ipython,Regular expressions should not be too complicated
ipython:S5845,ipython,Assertions comparing incompatible types should not be made
ipython:S5857,ipython,Character classes should be preferred over reluctant quantifiers in regular expressions
ipython:S5860,ipython,Names of regular expressions named groups should be used
ipython:S5864,ipython,Type checks shouldn't be confusing
ipython:S5868,ipython,Unicode Grapheme Clusters should be avoided inside regex character classes
ipython:S5869,ipython,Character classes in regular expressions should not contain the same character twice
ipython:S5953,ipython,"Variables, classes and functions should be either defined or imported"
ipython:S6001,ipython,Back references in regular expressions should only refer to capturing groups that are matched before the reference
ipython:S6002,ipython,Regex lookahead assertions should not be contradictory
ipython:S6019,ipython,Reluctant quantifiers in regular expressions should be followed by an expression that can't match the empty string
ipython:S6035,ipython,Single-character alternations in regular expressions should be replaced with character classes
ipython:S6245,ipython,Disabling server-side encryption of S3 buckets is security-sensitive
ipython:S6252,ipython,Disabling versioning of S3 buckets is security-sensitive
ipython:S6265,ipython,Granting access to S3 buckets to all or authenticated users is security-sensitive
ipython:S6270,ipython,Policies authorizing public access to resources are security-sensitive
ipython:S6275,ipython,Using unencrypted EBS volumes is security-sensitive
ipython:S6377,ipython,XML signatures should be validated securely
ipython:S6395,ipython,Non-capturing groups without quantifier should not be used
ipython:S6396,ipython,Superfluous curly brace quantifiers should be avoided
ipython:S6397,ipython,Character classes in regular expressions should not contain only one character
ipython:S6711,ipython,numpy.random.Generator should be preferred to numpy.random.RandomState
ipython:S6714,ipython,Passing a list to np.array should be preferred over passing a generator
ipython:S6925,ipython,"The ""validate_indices"" argument should not be set for ""tf.gather"" function call"
ipython:S6928,ipython,"Python side effects should not be used inside a ""tf.function"""
ipython:S6929,ipython,The reduction axis/dimension should be specified when using reduction operations
ipython:S1066,ipython,"Mergeable ""if"" statements should be combined"
ipython:S1172,ipython,Unused function parameters should be removed
ipython:S1186,ipython,Functions and methods should not be empty
ipython:S134,ipython,"Control flow statements ""if"", ""for"", ""while"", ""try"" and ""with"" should not be nested too deeply"
ipython:S1854,ipython,Unused assignments should be removed
ipython:S1862,ipython,"Related ""if/else if"" statements should not have the same condition"
ipython:S2159,ipython,Unnecessary equality checks should not be made
ipython:S2245,ipython,Using pseudorandom number generators (PRNGs) is security-sensitive
ipython:S2275,ipython,String formatting should not lead to runtime errors
ipython:S2710,ipython,The first argument to class methods should follow the naming convention
ipython:S2711,ipython,"""yield"" and ""return"" should not be used outside functions"
ipython:S2712,ipython,"""return"" and ""yield"" should not be used in the same function"
ipython:S2823,ipython,"Only strings should be listed in ""__all__"""
ipython:S2836,ipython,"Loops without ""break"" should not have ""else"" clauses"
ipython:S3358,ipython,Conditional expressions should not be nested
ipython:S3457,ipython,String formatting should be used correctly
ipython:S3699,ipython,The output of functions that don't return anything should not be used
ipython:S3801,ipython,"Functions should use ""return"" consistently"
ipython:S3923,ipython,All branches in a conditional structure should not have exactly the same implementation
ipython:S4423,ipython,Weak SSL/TLS protocols should not be used
ipython:S4426,ipython,Cryptographic key generation should be based on strong parameters
ipython:S4787,ipython,Encrypting data is security-sensitive
ipython:S5300,ipython,Sending emails is security-sensitive
ipython:S5542,ipython,Encryption algorithms should be used with secure mode and padding scheme
ipython:S5547,ipython,Cipher algorithms should be robust
ipython:S5549,ipython,Function arguments should be passed only once
ipython:S5632,ipython,Raised Exceptions must derive from BaseException
ipython:S5655,ipython,Arguments given to functions should be of an expected type
ipython:S5659,ipython,JWT should be signed and verified
ipython:S5754,ipython,"""SystemExit"" should be re-raised"
ipython:S5756,ipython,Calls should not be made to non-callable values
ipython:S5780,ipython,Expressions creating dictionaries should not have duplicate keys
ipython:S5781,ipython,Expressions creating sets should not have duplicate values
ipython:S5890,ipython,Values assigned to variables should match their type annotations
ipython:S5899,ipython,Test methods should be discoverable
ipython:S5996,ipython,Regex boundaries should not be used in a way that can never be matched
ipython:S6725,ipython,"Equality checks should not be made against ""numpy.nan"""
ipython:S6740,ipython,'dtype' parameter should be provided when using 'pandas.read_csv' or 'pandas.read_table'
ipython:S6741,ipython,"The ""pandas.DataFrame.to_numpy()"" method should be preferred to the ""pandas.DataFrame.values"" attribute"
ipython:S6742,ipython,pandas.pipe method should be preferred over long chains of instructions
ipython:S6982,ipython,"""model.eval()"" or ""model.train()"" should be called after loading the state of a PyTorch model"
ipython:S6983,ipython,"The ""num_workers"" parameter should be specified for ""torch.utils.data.DataLoader"""
ipython:S6984,ipython,Einops pattern should be valid
ipython:S6985,ipython,"Usage of ""torch.load"" can lead to untrusted code execution"
ipython:S3330,ipython,"Creating cookies without the ""HttpOnly"" flag is security-sensitive"
ipython:S1716,ipython,"""break"" and ""continue"" should not be used outside a loop"
ipython:S1717,ipython,"""\"" should only be used as an escape character outside of raw strings"
ipython:S4784,ipython,Using regular expressions is security-sensitive
ipython:S5994,ipython,Regex patterns following a possessive quantifier should not always fail
ipython:S6727,ipython,The abs_tol parameter should be provided when using math.isclose to compare values to 0
ipython:S6729,ipython,np.nonzero should be preferred over np.where when only the condition parameter is set
ipython:S6969,ipython,"""memory"" parameter should be specified for Scikit-Learn Pipeline"
ipython:CommentRegularExpression,ipython,Track comments matching a regular expression
ipython:FunctionComplexity,ipython,Cyclomatic Complexity of functions should not be too high
ipython:LineLength,ipython,Lines should not be too long
ipython:LongIntegerWithLowercaseSuffixUsage,ipython,"Long suffix ""L"" should be upper case"
ipython:ParsingError,ipython,Python parser failure
ipython:S1045,ipython,"All ""except"" blocks should be able to catch exceptions"
ipython:S112,ipython,"""Exception"" and ""BaseException"" should not be raised"
ipython:S125,ipython,Sections of code should not be commented out
ipython:S138,ipython,Functions should not have too many lines of code
ipython:S139,ipython,Comments should not be located at the end of lines of code
ipython:S1607,ipython,A reason should be provided when skipping a test
ipython:S1656,ipython,Variables should not be self-assigned
ipython:S1707,ipython,"Track ""TODO"" and ""FIXME"" comments that do not contain a reference to a person"
ipython:S1720,ipython,Docstrings should be defined
ipython:S1721,ipython,Parentheses should not be used after certain keywords
ipython:S1722,ipython,New-style classes should be used
ipython:S1845,ipython,Methods and field names should not differ only by capitalization
ipython:S2068,ipython,Hard-coded passwords are security-sensitive
ipython:S2257,ipython,Using non-standard cryptographic algorithms is security-sensitive
ipython:S4433,ipython,LDAP connections should be authenticated
ipython:S4487,ipython,"Unread ""private"" attributes should be removed"
ipython:S4790,ipython,Using weak hashing algorithms is security-sensitive
ipython:S4792,ipython,Configuring loggers is security-sensitive
ipython:S5332,ipython,Using clear-text protocols is security-sensitive
ipython:S5527,ipython,Server hostnames should be verified during SSL/TLS connections
ipython:S5642,ipython,"""in"" and ""not in"" operators should be used on objects supporting them"
ipython:S5644,ipython,Item operations should be done on objects supporting them
ipython:S5886,ipython,Function return types should be consistent with their type hint
ipython:S6281,ipython,Allowing public ACLs or policies on a S3 bucket is security-sensitive
ipython:S6302,ipython,Policies granting all privileges are security-sensitive
ipython:S6303,ipython,Using unencrypted RDS DB resources is security-sensitive
ipython:S6304,ipython,Policies granting access to all resources of an account are security-sensitive
ipython:S6308,ipython,Using unencrypted OpenSearch domains is security-sensitive
ipython:S6542,ipython,Any should not be used as a type hint
ipython:S6543,ipython,Type hints of generic types should specify their type parameters
ipython:S6545,ipython,Built-in generic types should be preferred over the typing module in type hints
ipython:S6546,ipython,"Union type expressions should be preferred over ""typing.Union"" in type hints"
ipython:S6663,ipython,Sequence indexes must have an __index__ method
ipython:S6730,ipython,Deprecated NumPy aliases of built-in types should not be used
ipython:S6734,ipython,inplace=True should not be used when modifying a Pandas DataFrame
ipython:S6735,ipython,"When using pandas.merge or pandas.join, the parameters on, how and validate should be provided"
ipython:S6785,ipython,GraphQL queries should not be vulnerable to Denial of Service attacks
ipython:S6786,ipython,GraphQL introspection should be disabled in production
ipython:S6971,ipython,Transformers should not be accessed directly when a Scikit-Learn Pipeline uses caching
ipython:S6972,ipython,Nested estimator parameters modification in a Pipeline should refer to valid parameters
ipython:S6973,ipython,Important hyperparameters should be specified for machine learning libraries' estimators and optimizers
ipython:S6974,ipython,"Subclasses of Scikit-Learn's ""BaseEstimator"" should not set attributes ending with ""_"" in the ""__init__"" method"
ipython:S6978,ipython,"Subclasses of ""torch.nn.Module"" should call the initializer"
ipython:S6979,ipython,"""torch.tensor"" should be used instead of ""torch.autograd.Variable"""
ipython:S930,ipython,The number and name of arguments passed to a function should match its parameters
ipython:S935,ipython,Functions and methods should only return expected values
ipython:ClassComplexity,ipython,Cyclomatic Complexity of classes should not be too high
ipython:PrintStatementUsage,ipython,"The ""print"" statement should not be used"
ipython:S104,ipython,Files should not have too many lines of code
ipython:S107,ipython,"Functions, methods and lambdas should not have too many parameters"
ipython:S108,ipython,Nested blocks of code should not be left empty
ipython:S113,ipython,Files should end with a newline
ipython:S116,ipython,Field names should comply with a naming convention
ipython:S117,ipython,Local variable and function parameter names should comply with a naming convention
ipython:S1192,ipython,String literals should not be duplicated
ipython:S1515,ipython,Functions and lambdas should not reference variables defined in enclosing loops
ipython:S1542,ipython,Function names should comply with a naming convention
ipython:S1751,ipython,Loops with at most one iteration should be refactored
ipython:S1763,ipython,All code should be reachable
ipython:S1764,ipython,Identical expressions should not be used on both sides of a binary operator
ipython:S1871,ipython,Two branches in a conditional structure should not have exactly the same implementation
ipython:S2077,ipython,Formatting SQL queries is security-sensitive
ipython:S2190,ipython,Recursion should not be infinite
ipython:S2638,ipython,Method overrides should not change contracts
ipython:S2755,ipython,XML parsers should not be vulnerable to XXE attacks
ipython:S2757,ipython,"Non-existent operators like ""=+"" should not be used"
ipython:S2876,ipython,"""__iter__"" should return an iterator"
